,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,,,,20190412,,09:30 AM,,60.202,0.0,60.57,60.6,60.04,13973997.1091,434,60.05,232120,0.0,0,,0
2019-04-12 09:31:00,60.525,,60.47,20190412,60.58,09:31 AM,60.47,60.56,0.005946646290820971,60.21,60.73,60.172,10314675.6699,538,60.56,170320,12105.0,2,60.58,200
2019-04-12 09:32:00,60.033,,59.86,20190412,60.09,09:32 AM,59.81,59.971,-0.0038370818245241295,59.85,60.31,59.65,9761115.694,446,60.185,162765,90049.0,11,60.085,1500
2019-04-12 09:33:00,,,,20190412,,09:33 AM,,59.742,-0.007640942161390002,59.67,59.944,59.52,5942587.6273,259,59.858,99471,0.0,0,,0
2019-04-12 09:34:00,59.61,,59.61,20190412,59.61,09:34 AM,59.61,59.67,-0.008836915717085753,59.644,59.815,59.505,3625125.4069,134,59.75,60753,5961.0,1,59.61,100
2019-04-12 09:35:00,,,,20190412,,09:35 AM,,59.384,-0.013587588452210855,59.294,59.67,59.19,8551125.7825,460,59.6,143998,0.0,0,,0
2019-04-12 09:36:00,,,,20190412,,09:36 AM,,59.072,-0.018770140526892718,58.911,59.28,58.9,10235581.5573,483,59.28,173273,0.0,0,,0
2019-04-12 09:37:00,59.055,,59.055,20190412,59.055,09:37 AM,59.055,59.02,-0.019633899206006365,59.05,59.16,58.868,9928576.0332,478,58.93,168225,11811.0,1,59.055,200
2019-04-12 09:38:00,58.845,,58.89,20190412,58.89,09:38 AM,58.8,58.824,-0.022889604996511746,58.56,59.14,58.56,7375778.1993,444,59.08,125387,11769.0,2,58.8,200
2019-04-12 09:39:00,58.59,,58.59,20190412,58.59,09:39 AM,58.59,58.586,-0.0268429620278396,58.42,58.8,58.37,10518716.058,434,58.55,179543,5859.0,1,58.59,100
2019-04-12 09:40:00,58.322,,58.05,20190412,58.405,09:40 AM,58.05,58.159,-0.033935749642868995,58.032,58.45,57.87,14439132.5711,772,58.447,248269,110812.5,6,58.405,1900
2019-04-12 09:41:00,58.172,,58.12,20190412,58.23,09:41 AM,58.11,58.126,-0.0344839041892296,58.2,58.31,57.97,8598146.1872,501,58.07,147922,133795.0,5,58.23,2300
2019-04-12 09:42:00,58.4,,58.4,20190412,58.4,09:42 AM,58.4,58.361,-0.030580379389389074,58.25,58.54,58.1,10856661.7054,596,58.187,186027,326923.2,52,58.4,5598
2019-04-12 09:43:00,,,,20190412,,09:43 AM,,58.115,-0.03466662237134973,58.03,58.24,58.01,3691632.9753,231,58.22,63523,0.0,0,,0
2019-04-12 09:44:00,,,,20190412,,09:44 AM,,58.084,-0.035181555430052074,58.2,58.21,57.99,3209811.097,203,58.05,55261,0.0,0,,0
2019-04-12 09:45:00,,,,20190412,,09:45 AM,,58.106,-0.03481611906581171,58.093,58.245,57.94,3600660.724,207,58.22,61967,0.0,0,,0
2019-04-12 09:46:00,57.99,,57.99,20190412,57.99,09:46 AM,57.99,58.019,-0.03626125377894422,57.94,58.18,57.94,1774395.531,157,58.12,30583,5799.0,1,57.99,100
2019-04-12 09:47:00,57.84,,57.84,20190412,57.84,09:47 AM,57.84,57.885,-0.038487093452044784,57.94,57.98,57.81,4192641.0671,238,57.95,72431,7345.68,1,57.84,127
2019-04-12 09:48:00,57.935,,57.935,20190412,57.935,09:48 AM,57.935,58.075,-0.03533105212451406,58.0,58.198,57.92,4041716.4597,211,57.942,69595,115.87,1,57.935,2
2019-04-12 09:49:00,,,,20190412,,09:49 AM,,57.935,-0.03765655626058928,57.91,58.04,57.87,2907068.126,147,58.013,50178,0.0,0,,0
2019-04-12 09:50:00,57.837,,57.83,20190412,57.84,09:50 AM,57.83,57.924,-0.03783927444270952,58.13,58.17,57.82,3699591.576,260,57.909,63870,17351.0,2,57.84,300
2019-04-12 09:51:00,58.13,,58.13,20190412,58.13,09:51 AM,58.13,58.227,-0.03280621906248964,58.094,58.34,58.093,4208787.7917,247,58.15,72282,17439.0,3,58.13,300
2019-04-12 09:52:00,58.25,,58.25,20190412,58.25,09:52 AM,58.25,58.185,-0.03350387030331212,58.19,58.28,58.07,3120999.1748,166,58.13,53639,5825.0,1,58.25,100
2019-04-12 09:53:00,,,,20190412,,09:53 AM,,58.245,-0.032507225673565676,58.362,58.39,58.12,3616783.9976,198,58.184,62096,0.0,0,,0
2019-04-12 09:54:00,,,,20190412,,09:54 AM,,58.259,-0.032274675259958106,58.085,58.39,58.085,4569262.3155,334,58.38,78430,0.0,0,,0
2019-04-12 09:55:00,,,,20190412,,09:55 AM,,58.057,-0.03563004551343803,58.05,58.195,57.97,5042744.1876,284,58.07,86859,0.0,0,,0
2019-04-12 09:56:00,,,,20190412,,09:56 AM,,58.083,-0.035198166173881267,58.0,58.16,58.0,2814957.8268,177,58.05,48464,0.0,0,,0
2019-04-12 09:57:00,57.94,,57.94,20190412,57.94,09:57 AM,57.94,58.004,-0.03651041493638086,58.137,58.14,57.91,3831597.64,230,58.002,66057,5214.6,1,57.94,90
2019-04-12 09:58:00,,,,20190412,,09:58 AM,,58.245,-0.032507225673565676,58.294,58.3,58.117,2597751.646,139,58.118,44600,0.0,0,,0
2019-04-12 09:59:00,,,,20190412,,09:59 AM,,58.269,-0.03210856782166705,58.216,58.3,58.21,1864971.523,164,58.3,32006,0.0,0,,0
2019-04-12 10:00:00,58.242,,58.235,20190412,58.26,10 AM,58.235,58.237,-0.03264011162419847,58.23,58.3,58.17,1725811.1084,138,58.25,29634,79616.745,4,58.255,1367
2019-04-12 10:01:00,,,,20190412,,10:01 AM,,58.122,-0.034550347164546004,58.19,58.26,57.971,4337669.9561,251,58.23,74630,0.0,0,,0
2019-04-12 10:02:00,,,,20190412,,10:02 AM,,58.178,-0.03362014551011596,58.16,58.24,58.07,1937841.7855,144,58.2,33309,0.0,0,,0
2019-04-12 10:03:00,,,,20190412,,10:03 AM,,58.188,-0.03345403807182479,58.11,58.28,58.07,3457048.0306,236,58.17,59412,0.0,0,,0
2019-04-12 10:04:00,,,,20190412,,10:04 AM,,58.119,-0.034600179396033326,58.174,58.18,58.07,1624889.9458,73,58.11,27958,0.0,0,,0
2019-04-12 10:05:00,,,,20190412,,10:05 AM,,58.163,-0.0338693066675526,58.18,58.21,58.1,1784437.4983,81,58.18,30680,0.0,0,,0
2019-04-12 10:06:00,58.18,,58.18,20190412,58.18,10:06 AM,58.18,58.16,-0.03391913889903993,58.18,58.24,58.12,1496738.278,107,58.193,25735,5818.0,1,58.18,100
2019-04-12 10:07:00,,,,20190412,,10:07 AM,,58.051,-0.035729709976412685,58.0,58.23,57.95,2290408.6685,169,58.17,39455,0.0,0,,0
2019-04-12 10:08:00,,,,20190412,,10:08 AM,,57.913,-0.03802199262482977,57.93,58.02,57.84,3514768.693,181,58.02,60691,0.0,0,,0
2019-04-12 10:09:00,57.722,,57.675,20190412,57.815,10:09 AM,57.675,57.784,-0.04016477857878475,57.74,57.943,57.65,4707095.0411,226,57.943,81460,17316.5,3,57.815,300
2019-04-12 10:10:00,57.695,,57.75,20190412,57.75,10:10 AM,57.67,57.728,-0.04109498023321479,57.784,57.81,57.62,3930846.8632,193,57.74,68093,34617.0,4,57.68,600
2019-04-12 10:11:00,57.86,,57.87,20190412,57.87,10:11 AM,57.845,57.825,-0.039483738081791224,57.826,57.88,57.78,2646017.2393,114,57.81,45759,28930.0,2,57.845,500
2019-04-12 10:12:00,57.76,,57.77,20190412,57.77,10:12 AM,57.75,57.764,-0.04049699345536686,57.833,57.85,57.71,2487475.823,116,57.79,43063,28880.0,3,57.75,500
2019-04-12 10:13:00,57.887,,57.94,20190412,57.94,10:13 AM,57.86,57.883,-0.038520314939702927,57.81,57.95,57.78,1726540.762,125,57.85,29828,17366.0,2,57.86,300
2019-04-12 10:14:00,57.767,,57.765,20190412,57.77,10:14 AM,57.76,57.767,-0.04044716122387953,57.79,57.827,57.7,2421586.3234,166,57.81,41920,11553.49,4,57.77,200
2019-04-12 10:15:00,57.61,,57.65,20190412,57.78,10:15 AM,57.49,57.613,-0.04300521577356232,57.7,57.79,57.44,9988783.641,507,57.759,173377,48738.4,7,57.775,846
2019-04-12 10:16:00,57.733,,57.725,20190412,57.74,10:16 AM,57.725,57.707,-0.04144380585362609,57.82,57.82,57.62,6225295.4292,284,57.713,107877,11546.5,2,57.74,200
2019-04-12 10:17:00,,,,20190412,,10:17 AM,,57.633,-0.04267300089698009,57.46,57.82,57.43,4194441.581,292,57.82,72778,0.0,0,,0
2019-04-12 10:18:00,57.585,,57.585,20190412,57.585,10:18 AM,57.585,57.554,-0.04398524965947969,57.55,57.64,57.45,4252649.229,245,57.45,73889,17275.5,2,57.585,300
2019-04-12 10:19:00,57.485,,57.485,20190412,57.485,10:19 AM,57.485,57.515,-0.04463306866881495,57.478,57.58,57.44,2265189.6283,126,57.55,39384,5748.5,1,57.485,100
2019-04-12 10:20:00,57.66,,57.66,20190412,57.66,10:20 AM,57.66,57.584,-0.04348692734460641,57.69,57.69,57.49,3300974.517,229,57.49,57324,17298.0,1,57.66,300
2019-04-12 10:21:00,,,,20190412,,10:21 AM,,57.731,-0.04104514800172746,57.707,57.78,57.69,2050043.8752,128,57.69,35510,0.0,0,,0
2019-04-12 10:22:00,57.79,,57.8,20190412,57.8,10:22 AM,57.78,57.802,-0.03986578518986078,57.858,57.88,57.69,3209491.6863,174,57.69,55526,16643.64,3,57.78,288
2019-04-12 10:23:00,,,,20190412,,10:23 AM,,57.772,-0.040364107504734056,57.78,57.85,57.72,1650669.97,66,57.85,28572,0.0,0,,0
2019-04-12 10:24:00,57.695,,57.695,20190412,57.695,10:24 AM,57.695,57.73,-0.04106175874555665,57.75,57.797,57.68,897589.99,75,57.797,15548,9231.2,1,57.695,160
2019-04-12 10:25:00,57.775,,57.78,20190412,57.79,10:25 AM,57.76,57.793,-0.04001528188432276,57.78,57.83,57.76,1210818.7726,54,57.76,20951,69330.0,8,57.76,1200
2019-04-12 10:26:00,57.748,,57.74,20190412,57.785,10:26 AM,57.735,57.758,-0.04059665791834151,57.785,57.8,57.71,1788492.428,116,57.8,30965,162098.84,17,57.76,2807
2019-04-12 10:27:00,57.789,,57.79,20190412,57.79,10:27 AM,57.785,57.809,-0.039749509983057055,57.78,57.86,57.76,1361920.4625,94,57.77,23559,23115.5,4,57.785,400
2019-04-12 10:28:00,57.713,,57.66,20190412,57.745,10:28 AM,57.66,57.718,-0.041261087671505846,57.677,57.8,57.64,728570.6834,69,57.8,12623,15813.26,3,57.745,274
