,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,269.865,0.0,269.63,20190412,270.19,09:30 AM,269.63,269.889,0.0,269.605,270.23,269.3,21525000.7306,165,270.22,79755,74213.0,5,270.19,275
2019-04-12 09:31:00,269.748,-0.00043355010838759615,270.0,20190412,270.0,09:31 AM,269.655,270.089,0.0007410453927354898,270.56,270.66,269.51,8229077.073,141,269.655,30468,107899.0,4,269.655,400
2019-04-12 09:32:00,270.511,0.002393789487336316,270.5,20190412,270.73,09:32 AM,270.5,270.565,0.002504733427446053,270.4,270.805,270.16,8149702.6745,133,270.551,30121,568072.34,7,270.73,2100
2019-04-12 09:33:00,269.992,0.0004706056732070092,269.84,20190412,270.15,09:33 AM,269.84,270.1,0.0007818028893360334,270.22,270.645,269.797,5142159.4163,119,270.58,19038,151195.73,7,270.0,560
2019-04-12 09:34:00,269.886,7.78166861208938e-05,269.85,20190412,270.01,09:34 AM,269.795,269.994,0.0003890488311862217,270.233,270.3,269.779,9512422.0574,188,270.2,35232,161931.5,5,270.01,600
2019-04-12 09:35:00,270.91,0.0038723065236322455,271.0,20190412,271.02,09:35 AM,270.53,270.739,0.0031494429191258845,271.18,271.18,270.339,13463040.7083,217,270.37,49727,135455.0,5,270.53,500
2019-04-12 09:36:00,270.974,0.0041094621384765734,270.97,20190412,271.12,09:36 AM,270.76,270.989,0.0040757496600453,270.92,271.2,270.76,10992935.7406,209,271.16,40566,162584.5,6,271.09,600
2019-04-12 09:37:00,271.163,0.004809812313564196,270.78,20190412,271.34,09:37 AM,270.78,271.082,0.004420335767667388,270.66,271.4,270.63,12716976.5802,219,270.8,46912,289873.82,9,271.22,1069
2019-04-12 09:38:00,271.117,0.004639356715394769,271.38,20190412,271.43,09:38 AM,270.63,271.047,0.004290652823938788,271.37,271.43,270.405,10081871.7994,205,270.574,37196,167821.2,9,270.66,619
2019-04-12 09:39:00,271.21,0.0049839734682154795,271.08,20190412,271.37,09:39 AM,271.08,271.131,0.0046018918888875125,271.0,271.42,270.88,7994297.3916,116,271.32,29485,135876.17,4,271.17,501
2019-04-12 09:40:00,271.323,0.005402701350675226,271.36,20190412,271.41,09:40 AM,271.2,271.306,0.005250306607531145,271.28,271.48,271.04,14366213.4057,221,271.04,52952,81397.0,3,271.2,300
2019-04-12 09:41:00,271.204,0.004961740129323916,271.13,20190412,271.4,09:41 AM,270.94,271.018,0.004183201241991938,270.72,271.48,270.702,11475452.8217,199,271.369,42342,55868.14,4,271.4,206
2019-04-12 09:42:00,270.457,0.0021936894373111907,269.65,20190412,270.9,09:42 AM,269.65,270.286,0.001470975104579999,269.745,270.96,269.65,10665224.3235,284,270.752,39459,330228.35,14,270.81,1221
2019-04-12 09:43:00,270.037,0.000637355714894368,270.08,20190412,270.085,09:43 AM,269.77,270.044,0.0005743101793699362,269.915,270.32,269.595,10682131.8453,199,269.65,39557,243033.32,8,269.77,900
2019-04-12 09:44:00,270.27,0.0015007503751874925,270.34,20190412,270.39,09:44 AM,270.07,270.211,0.0011930830823042166,270.5,270.52,269.8,7472954.2953,157,269.84,27656,181350.97,6,270.14,671
2019-04-12 09:45:00,270.666,0.00296815074203764,271.035,20190412,271.035,09:45 AM,270.62,270.871,0.003638532878331354,270.886,271.15,270.5,11997407.1099,180,270.5,44292,167812.7,7,270.64,620
2019-04-12 09:46:00,270.79,0.0034276397457988672,270.86,20190412,270.86,09:46 AM,270.68,270.775,0.0032828310898182856,270.722,271.0,270.61,3500312.554,83,270.919,12927,135395.0,5,270.8,500
2019-04-12 09:47:00,270.995,0.004187278824597467,271.05,20190412,271.05,09:47 AM,270.83,270.947,0.003920130127570937,271.0,271.07,270.65,7021321.233,132,270.715,25914,109753.0,4,271.0,405
2019-04-12 09:48:00,271.01,0.004242862171826587,270.95,20190412,271.06,09:48 AM,270.94,271.023,0.00420172737681052,270.97,271.15,270.81,7357468.2311,106,270.9,27147,111927.35,9,271.0,413
2019-04-12 09:49:00,270.712,0.0031386063402070665,270.72,20190412,270.98,09:49 AM,270.61,271.009,0.004149854199318996,271.164,271.22,270.61,12053393.0443,198,270.86,44476,186250.08,6,270.98,688
2019-04-12 09:50:00,270.779,0.003386878624497387,270.55,20190412,270.94,09:50 AM,270.55,270.828,0.0034792081188931914,270.798,271.19,270.44,6663450.0394,141,271.19,24604,163821.15,6,270.83,605
2019-04-12 09:51:00,270.868,0.0037166731513904577,270.8,20190412,270.94,09:51 AM,270.79,270.906,0.003768215822060165,270.895,271.06,270.7,7761995.346,132,270.79,28652,108347.0,3,270.79,400
2019-04-12 09:52:00,271.02,0.004279917736646,271.02,20190412,271.02,09:52 AM,271.02,270.978,0.004034992163444967,271.0,271.06,270.86,2922504.166,41,270.96,10785,27102.0,1,271.02,100
2019-04-12 09:53:00,271.053,0.004402201100550231,271.07,20190412,271.07,09:53 AM,270.78,270.933,0.0038682569500794128,271.15,271.18,270.649,6284013.3748,138,270.95,23194,28731.68,2,270.78,106
2019-04-12 09:54:00,271.359,0.005536101384025239,271.22,20190412,271.56,09:54 AM,271.2,271.315,0.005283653650204298,271.195,271.59,271.02,22384610.7543,345,271.15,82504,421963.85,16,271.27,1555
2019-04-12 09:55:00,271.091,0.00454301224686417,270.98,20190412,271.25,09:55 AM,270.98,271.201,0.004861257776345134,271.235,271.47,270.94,6480616.7233,116,271.228,23896,65604.16,3,271.25,242
2019-04-12 09:56:00,271.26,0.005169251292312755,271.26,20190412,271.26,09:56 AM,271.26,271.195,0.004839026414562962,271.08,271.35,271.03,6497842.6441,115,271.075,23960,27126.0,1,271.26,100
2019-04-12 09:57:00,271.043,0.004365145535730818,270.85,20190412,271.14,09:57 AM,270.85,271.098,0.004479619399086303,270.825,271.33,270.71,10849061.3754,237,271.15,40019,138232.0,6,271.14,510
2019-04-12 09:58:00,270.645,0.002890334055916746,270.475,20190412,270.885,09:58 AM,270.41,270.747,0.0031790847348354473,270.589,271.0,270.301,11507565.5028,268,270.79,42503,110423.3,5,270.885,408
2019-04-12 09:59:00,,,,20190412,,09:59 AM,,270.685,0.0029493606630873886,270.4,270.8,270.4,4507980.9544,92,270.5,16654,0.0,0,,0
2019-04-12 10:00:00,270.622,0.0028051062568321384,270.61,20190412,270.685,10 AM,270.585,270.519,0.002334292987116909,270.4,270.76,270.4,8114212.8586,163,270.59,29995,276034.2,7,270.585,1020
2019-04-12 10:01:00,270.421,0.0020602894039611773,270.235,20190412,270.52,10:01 AM,270.235,270.368,0.0017748037156015434,270.08,270.6,270.08,5735054.0,118,270.39,21212,244460.44,6,270.52,904
2019-04-12 10:02:00,270.0,0.0005002501250624975,270.0,20190412,270.0,10:02 AM,270.0,270.075,0.0006891722152439656,270.126,270.27,269.95,5096859.8673,96,270.115,18872,37260.0,3,270.0,138
2019-04-12 10:03:00,270.421,0.0020602894039611773,270.34,20190412,270.535,10:03 AM,270.22,270.334,0.0016488259988365335,270.35,270.56,270.124,4267500.0896,94,270.22,15786,139267.0,6,270.22,515
2019-04-12 10:04:00,270.555,0.002556833972541818,270.56,20190412,270.56,10:04 AM,270.55,270.418,0.0019600650637854686,270.574,270.61,270.25,1827214.0478,48,270.35,6757,54111.0,2,270.55,200
2019-04-12 10:05:00,270.687,0.003045967428158534,270.65,20190412,270.74,10:05 AM,270.65,270.728,0.003108685422525552,270.77,270.83,270.625,6650701.601,108,270.7,24566,81206.0,3,270.67,300
2019-04-12 10:06:00,270.85,0.0036499731347155564,270.85,20190412,270.85,10:06 AM,270.85,270.965,0.003986824212917032,270.97,271.149,270.73,4708015.1532,85,270.73,17375,27085.0,1,270.85,100
2019-04-12 10:07:00,270.81,0.0035017508754376933,270.81,20190412,270.81,10:07 AM,270.81,271.061,0.004342526001430101,271.007,271.18,270.884,3238095.2828,60,270.884,11946,13540.5,1,270.81,50
2019-04-12 10:08:00,,,,20190412,,10:08 AM,,270.99,0.0040794548870091004,271.064,271.1,270.858,1895300.6649,37,271.0,6994,0.0,0,,0
2019-04-12 10:09:00,270.976,0.004116873251440498,271.02,20190412,271.02,10:09 AM,270.92,271.099,0.004483324626049893,271.35,271.35,270.9,6798625.931,132,270.95,25078,48775.6,2,270.92,180
2019-04-12 10:10:00,271.544,0.006221629333185013,271.56,20190412,271.56,10:10 AM,271.49,271.396,0.005583777034262252,271.447,271.588,271.25,7242757.5712,140,271.35,26687,190624.12,4,271.49,702
2019-04-12 10:11:00,271.45,0.005873307023882235,271.45,20190412,271.45,10:11 AM,271.45,271.417,0.005661586800499328,271.4,271.59,271.192,3831588.883,85,271.49,14117,3800.3,1,271.45,14
2019-04-12 10:12:00,271.521,0.006136401534100405,271.57,20190412,271.57,10:12 AM,271.48,271.459,0.005817206332973901,271.522,271.57,271.29,1481897.7215,29,271.38,5459,59734.6,3,271.48,220
2019-04-12 10:13:00,271.782,0.007103551775887844,271.89,20190412,271.89,10:13 AM,271.525,271.747,0.006884311698513107,271.787,271.93,271.5,7935814.3777,135,271.54,29203,238080.97,7,271.525,876
2019-04-12 10:14:00,271.83,0.0072814184870211955,271.83,20190412,271.83,10:14 AM,271.83,271.752,0.006902837833331479,271.7,271.92,271.65,4758114.1105,111,271.772,17509,13591.5,1,271.83,50
2019-04-12 10:15:00,271.6,0.0064291404961740635,271.6,20190412,271.6,10:15 AM,271.6,271.502,0.0059765310924120634,271.625,271.72,271.3,4576430.3632,84,271.72,16856,543.2,1,271.6,2
2019-04-12 10:16:00,271.66,0.006651473885090752,271.66,20190412,271.66,10:16 AM,271.66,271.539,0.0061136244900680545,271.65,271.66,271.41,1240118.01,25,271.65,4567,27166.0,1,271.66,100
2019-04-12 10:17:00,,,,20190412,,10:17 AM,,271.664,0.0065767778605277626,271.42,271.85,271.42,3671537.5361,54,271.587,13515,0.0,0,,0
2019-04-12 10:18:00,271.248,0.005124784614529418,271.43,20190412,271.43,10:18 AM,271.07,271.264,0.0050946870750567825,271.349,271.53,271.07,4800289.3267,103,271.52,17696,136980.2,6,271.07,505
2019-04-12 10:19:00,271.39,0.005650973634965546,271.39,20190412,271.39,10:19 AM,271.39,271.542,0.006124740170959035,271.65,271.71,271.34,3674777.56,66,271.48,13533,6784.75,1,271.39,25
2019-04-12 10:20:00,271.527,0.006158634872991969,271.545,20190412,271.545,10:20 AM,271.51,271.497,0.005958004957593692,271.608,271.65,271.35,2704920.7013,68,271.52,9963,54305.5,2,271.51,200
2019-04-12 10:21:00,271.699,0.006795990587886548,271.61,20190412,271.78,10:21 AM,271.61,271.776,0.006991763280459746,271.59,271.95,271.58,3838838.8305,90,271.581,14125,51894.51,2,271.78,191
2019-04-12 10:22:00,271.527,0.006158634872991969,271.58,20190412,271.58,10:22 AM,271.5,271.587,0.006291475384324589,271.51,271.722,271.44,1207477.775,28,271.7,4446,40729.0,3,271.5,150
2019-04-12 10:23:00,271.67,0.006688529449910165,271.67,20190412,271.67,10:23 AM,271.67,271.593,0.006313706746106761,271.545,271.677,271.46,1645852.81,32,271.58,6060,27167.0,1,271.67,100
2019-04-12 10:24:00,,,,20190412,,10:24 AM,,271.611,0.006380400831452857,271.52,271.69,271.52,1105459.1435,25,271.68,4070,0.0,0,,0
2019-04-12 10:25:00,271.415,0.00574361254701429,271.415,20190412,271.415,10:25 AM,271.415,271.481,0.005898721326174777,271.563,271.6,271.376,2490568.7275,74,271.5,9174,7328.205,1,271.415,27
2019-04-12 10:26:00,,,,20190412,,10:26 AM,,271.537,0.006106214036140664,271.54,271.65,271.44,1622702.922,39,271.585,5976,0.0,0,,0
2019-04-12 10:27:00,271.55,0.006243862672076788,271.55,20190412,271.55,10:27 AM,271.55,271.373,0.005498556814097575,271.19,271.55,271.185,2259453.365,33,271.55,8326,27155.0,1,271.55,100
2019-04-12 10:28:00,271.24,0.00509514016267393,271.255,20190412,271.255,10:28 AM,271.21,271.279,0.0051502654795118966,271.26,271.36,271.18,2053314.1193,38,271.197,7569,81372.0,2,271.21,300
2019-04-12 10:29:00,271.158,0.004791284531154489,271.16,20190412,271.16,10:29 AM,271.155,271.149,0.004668585974233818,271.07,271.25,270.978,3662685.939,82,271.23,13508,54231.5,2,271.155,200
2019-04-12 10:30:00,271.003,0.004216923276452955,270.93,20190412,271.15,10:30 AM,270.93,270.997,0.0041053914757548625,270.85,271.16,270.85,4184742.4915,63,271.15,15442,81301.0,5,271.15,300
2019-04-12 10:31:00,270.566,0.002597595093843088,270.56,20190412,270.84,10:31 AM,270.44,270.606,0.002656647732956825,270.543,270.94,270.28,7446548.625,178,270.85,27518,245133.14,10,270.82,906
2019-04-12 10:32:00,270.543,0.0025123672947584804,270.64,20190412,270.64,10:32 AM,270.445,270.58,0.002560311831901167,270.66,270.8,270.39,3755921.4609,74,270.52,13881,54108.5,2,270.445,200
2019-04-12 10:33:00,270.685,0.003038556315194609,270.685,20190412,270.685,10:33 AM,270.685,270.564,0.0025010282004824624,270.62,270.715,270.38,2291136.36,54,270.552,8468,27068.5,1,270.685,100
2019-04-12 10:34:00,,,,20190412,,10:34 AM,,270.783,0.0033124729055278484,270.67,270.87,270.621,2873274.83,58,270.621,10611,0.0,0,,0
