,open,high,low,close,volume
291,92.79,93.98,92.61,93.6,24451380
292,93.87,93.92,92.03,92.14,16862487
293,92.23,93.11,92.19,92.8,12861607
294,92.25,92.32,91.1,91.92,15059178
295,91.64,92.09,91.21,91.41,11156845
296,92.68,92.85,91.1,91.21,17378401
297,91.6,92.14,91.15,91.57,13726237
298,91.95,92.0,90.53,91.28,13729948
299,91.31,91.78,90.93,91.36,10004297
300,91.02,91.65,90.77,91.51,10237702
301,91.8,92.55,91.13,91.73,16601394
302,92.03,92.81,91.57,91.64,14492039
303,91.83,92.04,90.65,90.68,21734743
304,90.27,91.17,89.79,90.03,14623597
305,90.36,90.64,87.06,87.39,33089241
306,86.89,88.07,86.01,87.53,21741025
307,87.21,88.5,87.09,87.39,16090092
308,87.79,88.09,86.77,87.29,16093237
309,85.53,87.4,85.23,87.24,16689294
310,87.02,89.02,86.98,88.6,16264403
311,88.6,88.82,88.08,88.27,10207578
312,88.2,89.46,88.12,89.03,11630996
313,88.71,88.74,87.75,87.84,16987605
314,87.99,88.17,86.6,87.52,19831778
315,86.89,87.67,86.72,87.31,14280832
316,88.42,88.54,86.13,86.19,17635486
317,85.98,86.91,85.25,86.48,14379588
318,85.93,86.81,85.71,86.18,13097108
319,86.08,86.69,85.4,85.88,15081616
320,85.54,85.79,84.8,85.73,14690492
321,85.93,85.95,85.03,85.4,14730636
322,85.5,86.99,84.4,84.4,30529763
323,84.44,86.08,84.37,85.86,19071650
324,85.36,85.63,84.74,85.16,14127049
325,85.5,85.92,84.36,84.46,17588506
326,84.98,85.78,84.55,85.55,15635808
327,85.5,85.68,84.51,84.52,19820592
328,86.55,88.05,86.42,87.5,25468285
329,88.55,89.13,88.26,88.26,18253752
330,88.35,89.05,88.14,88.43,12832154
331,88.37,88.37,87.01,87.61,13329025
332,87.6,87.85,86.95,87.0,10755629
333,87.36,87.74,86.56,87.06,15712266
334,86.71,86.88,86.02,86.5,14414164
335,86.06,87.1,86.02,87.0,11540536
336,87.69,87.73,86.57,87.1,11540103
337,87.25,87.34,86.42,87.0,9436036
338,87.04,87.32,86.65,87.1,8162209
339,87.26,87.84,86.5,86.75,10273937
340,86.53,87.48,86.47,87.43,8334867
341,87.09,87.48,86.35,87.16,10907382
342,86.68,87.05,86.34,86.92,8738802
343,87.1,87.49,86.86,87.34,8835631
344,87.36,88.09,87.34,87.61,9794968
345,86.11,86.39,83.97,84.27,24679728
346,84.07,84.8,83.36,83.96,23350068
347,84.21,85.34,84.15,84.78,13412878
348,85.18,85.29,84.21,84.7,11635998
349,84.75,86.07,84.51,85.76,11753016
350,85.88,85.97,85.24,85.71,9923251
351,85.99,86.08,85.08,85.35,12238543
352,85.11,85.56,85.02,85.36,8113464
353,85.13,85.15,83.78,83.9,12603176
354,83.73,83.82,81.64,82.15,28327925
355,82.46,83.08,81.65,83.06,17123490
356,82.29,82.99,81.98,82.64,14998489
357,82.64,83.51,82.58,82.79,9080165
358,82.29,83.22,82.13,82.96,12196816
359,83.31,84.11,83.1,83.91,13711071
360,83.91,85.73,83.89,84.95,17950964
361,85.51,87.05,85.39,86.96,19120172
362,87.32,87.74,86.29,86.98,16053405
363,87.55,87.85,86.98,87.27,12557225
364,86.77,87.31,85.82,87.09,16175654
365,86.25,87.08,86.24,86.57,12509682
366,86.85,86.96,86.02,86.18,16936572
367,86.97,88.23,86.85,88.07,15972336
368,87.75,87.92,87.37,87.52,11197809
369,87.48,87.55,86.76,87.12,10005941
370,86.93,87.36,86.65,87.02,12180579
371,87.66,88.0,86.61,86.86,18812029
372,87.01,87.67,86.61,87.24,10082422
373,87.71,88.94,87.5,88.05,15415152
374,88.6,90.07,88.6,89.82,17466177
375,92.34,92.65,90.31,91.15,27697818
376,91.96,92.0,91.16,91.4,16892700
377,91.56,93.48,91.41,92.75,13208087
378,93.12,93.79,92.61,93.68,17535404
379,93.54,94.51,92.88,93.38,16596123
380,93.96,94.17,93.23,93.85,12817808
381,93.5,93.68,93.09,93.19,13987191
382,93.33,93.33,92.28,92.83,13262282
383,92.61,92.83,92.07,92.51,13540107
384,92.69,93.38,92.34,93.1,12820084
385,90.81,92.61,90.58,92.25,22235168
386,91.82,91.99,91.25,91.39,14374219
387,90.45,91.58,90.32,91.07,14719404
388,91.34,91.62,91.0,91.2,11651245
389,91.15,91.72,90.9,91.2,11561740
390,91.06,91.36,90.52,90.89,10971292
391,90.96,91.54,90.91,91.28,10725116
392,92.37,93.52,92.27,92.8,16447678
393,93.1,93.19,91.68,91.93,11815499
394,91.83,92.06,91.16,91.55,12332375
395,91.45,91.75,90.91,91.28,9351915
396,91.51,92.36,91.5,91.8,11520329
397,92.49,93.14,92.28,93.03,12523725
398,92.86,93.21,92.5,93.11,10165604
399,92.7,93.13,92.23,92.5,11078804
400,93.5,94.4,93.47,93.66,14323999
401,93.89,94.19,93.71,94.02,7978339
402,93.95,95.22,93.6,93.68,13745401
403,92.98,93.68,92.83,93.53,11214440
404,92.9,93.07,92.07,92.19,13252269
405,92.13,92.67,91.24,91.42,10679534
406,92.37,92.9,92.33,92.49,10994793
407,93.31,93.56,92.65,92.73,8812720
408,93.04,93.23,91.88,92.09,11085401
409,91.76,91.96,90.5,90.65,13837463
410,90.31,91.54,90.19,90.74,13040738
411,90.85,90.94,90.16,90.63,11502065
412,91.07,91.71,91.0,91.56,9211781
413,90.87,92.34,90.84,91.67,8811292
414,91.93,92.12,91.41,91.52,8623165
415,91.88,92.48,91.8,91.89,11794644
416,92.16,92.19,91.13,91.6,7292915
417,90.45,91.31,90.31,91.1,10886082
418,91.25,91.88,91.19,91.31,9165342
