,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,120.614,0.0,120.58,20190412,120.8,09:30 AM,120.55,120.671,0.0,120.47,120.82,120.45,51336351.6099,750,120.64,425423,198288.995,13,120.8,1644
2019-04-12 09:31:00,120.521,-0.0007710547697614168,120.63,20190412,120.64,09:31 AM,120.42,120.518,-0.0012679102684158231,120.63,120.65,120.4,11260579.7036,489,120.465,93435,248635.53,22,120.45,2063
2019-04-12 09:32:00,120.635,0.0001741091415590296,120.64,20190412,120.72,09:32 AM,120.545,120.643,-0.00023203586611535328,120.61,120.746,120.54,15832079.3786,589,120.625,131231,566985.67,29,120.68,4700
2019-04-12 09:33:00,120.646,0.00026530916808991057,120.675,20190412,120.7,09:33 AM,120.57,120.626,-0.00037291478482818325,120.67,120.72,120.56,9941066.5265,545,120.61,82412,301856.095,24,120.625,2502
2019-04-12 09:34:00,120.666,0.00043112739814608994,120.595,20190412,120.735,09:34 AM,120.595,120.659,-9.944394262084887e-05,120.6,120.735,120.58,9783741.5264,430,120.66,81086,476148.875,25,120.66,3946
2019-04-12 09:35:00,120.681,0.0005554910706882539,120.78,20190412,120.78,09:35 AM,120.61,120.677,4.972197131042443e-05,120.76,120.785,120.57,8063767.0664,327,120.605,66821,313891.62,11,120.61,2601
2019-04-12 09:36:00,120.742,0.0010612366723597602,120.65,20190412,120.805,09:36 AM,120.65,120.734,0.0005220806987593388,120.64,120.805,120.64,9397974.3805,429,120.76,77840,392171.12,28,120.76,3248
2019-04-12 09:37:00,120.672,0.00048087286716295556,120.79,20190412,120.79,09:37 AM,120.62,120.701,0.0002486098565520044,120.78,120.815,120.62,10389727.0791,485,120.65,86078,183542.7,18,120.62,1521
2019-04-12 09:38:00,120.731,0.0009700366458287613,120.685,20190412,120.79,09:38 AM,120.685,120.729,0.0004806457226673577,120.715,120.79,120.68,8306188.21,404,120.77,68800,258485.015,16,120.785,2141
2019-04-12 09:39:00,120.726,0.000928582088314746,120.67,20190412,120.79,09:39 AM,120.67,120.733,0.0005137937035410132,120.665,120.79,120.66,6596491.386,379,120.72,54637,96943.28,9,120.71,803
2019-04-12 09:40:00,120.759,0.0012021821679075067,120.805,20190412,120.81,09:40 AM,120.68,120.751,0.0006629596174722866,120.81,120.81,120.67,6005406.2294,295,120.67,49734,93346.87,12,120.69,773
2019-04-12 09:41:00,120.824,0.001741091415590178,120.89,20190412,120.89,09:41 AM,120.785,120.868,0.0016325380580254453,120.94,120.955,120.77,12642189.101,653,120.81,104595,119495.17,12,120.815,989
2019-04-12 09:42:00,120.94,0.002702837149916207,120.915,20190412,120.975,09:42 AM,120.915,120.945,0.0022706366898425194,120.92,120.98,120.9,11602836.1026,378,120.95,95935,611474.525,30,120.94,5056
2019-04-12 09:43:00,120.895,0.002329746132289715,120.85,20190412,120.925,09:43 AM,120.83,120.892,0.001831425943267143,120.85,120.94,120.83,10037190.245,472,120.92,83026,808182.375,45,120.915,6685
2019-04-12 09:44:00,120.699,0.0007047274777388508,120.62,20190412,120.835,09:44 AM,120.605,120.694,0.00019060089002325442,120.645,120.835,120.59,10411466.4089,512,120.835,86263,658773.44,43,120.835,5458
2019-04-12 09:45:00,120.646,0.00026530916808991057,120.61,20190412,120.68,09:45 AM,120.595,120.647,-0.00019888788524169773,120.6,120.69,120.585,7489775.9933,437,120.645,62080,452541.66,29,120.655,3751
2019-04-12 09:46:00,120.585,-0.0002404364335815956,120.5,20190412,120.605,09:46 AM,120.48,120.538,-0.0011021703640477808,120.43,120.605,120.43,7545204.3654,399,120.594,62596,168096.205,15,120.59,1394
2019-04-12 09:47:00,120.412,-0.0016747641235677299,120.43,20190412,120.45,09:47 AM,120.39,120.417,-0.0021048967854745953,120.39,120.46,120.38,8884743.2523,396,120.44,73783,200245.3,14,120.4,1663
2019-04-12 09:48:00,120.388,-0.0018737459996351923,120.385,20190412,120.39,09:48 AM,120.385,120.41,-0.002162905752003463,120.425,120.45,120.37,6269536.2766,289,120.389,52068,25762.96,3,120.39,214
2019-04-12 09:49:00,120.433,-0.0015006549820087004,120.44,20190412,120.445,09:49 AM,120.42,120.436,-0.0019474438763248786,120.435,120.46,120.41,7765597.8086,426,120.43,64479,128621.92,10,120.44,1068
2019-04-12 09:50:00,120.448,-0.001376291309466654,120.485,20190412,120.485,09:50 AM,120.4,120.454,-0.001798277962393723,120.474,120.51,120.4,10292594.328,509,120.45,85448,313165.0,25,120.46,2600
2019-04-12 09:51:00,120.523,-0.0007544729467558342,120.52,20190412,120.57,09:51 AM,120.49,120.517,-0.0012761972636342665,120.54,120.57,120.475,7315414.5576,236,120.48,60700,355182.82,22,120.49,2947
2019-04-12 09:52:00,120.558,-0.000464291044157373,120.555,20190412,120.57,09:52 AM,120.55,120.561,-0.0009115694740244087,120.55,120.59,120.52,5141921.9652,238,120.56,42650,61725.68,7,120.56,512
2019-04-12 09:53:00,120.534,-0.0006632729202248354,120.55,20190412,120.57,09:53 AM,120.48,120.534,-0.0011353183449213187,120.55,120.57,120.46,6234841.5434,305,120.55,51727,113060.83,11,120.57,938
2019-04-12 09:54:00,120.6,-0.00011607276103943161,120.685,20190412,120.685,09:54 AM,120.54,120.626,-0.00037291478482818325,120.67,120.69,120.524,6224403.2936,306,120.55,51601,208034.675,13,120.54,1725
2019-04-12 09:55:00,120.669,0.00045600013265452275,120.65,20190412,120.72,09:55 AM,120.65,120.677,4.972197131042443e-05,120.659,120.73,120.625,6828008.0205,325,120.68,56581,222634.3,19,120.67,1845
2019-04-12 09:56:00,120.608,-4.97454690168656e-05,120.58,20190412,120.63,09:56 AM,120.58,120.603,-0.0005635156748515555,120.59,120.655,120.56,4410566.5135,218,120.654,36571,185857.33,15,120.63,1541
2019-04-12 09:57:00,120.585,-0.0002404364335815956,120.62,20190412,120.62,09:57 AM,120.56,120.585,-0.0007126815887828288,120.59,120.64,120.545,5821014.5936,227,120.59,48273,176777.255,10,120.56,1466
2019-04-12 09:58:00,120.612,-1.6581823005700414e-05,120.585,20190412,120.63,09:58 AM,120.585,120.609,-0.000513793703541131,120.57,120.63,120.57,4613888.2115,180,120.588,38255,675426.0,19,120.61,5600
2019-04-12 09:59:00,120.614,0.0,120.625,20190412,120.625,09:59 AM,120.56,120.603,-0.0005635156748515555,120.625,120.63,120.547,4890340.3897,243,120.56,40549,1372222.945,45,120.56,11377
2019-04-12 10:00:00,120.628,0.00011607276103931379,120.65,20190412,120.655,10 AM,120.59,120.629,-0.00034805379917297104,120.65,120.67,120.563,7657885.1455,399,120.625,63483,941501.66,71,120.625,7805
2019-04-12 10:01:00,120.686,0.0005969456282023871,120.72,20190412,120.72,10:01 AM,120.61,120.674,2.4860985655212216e-05,120.713,120.727,120.61,5204794.5546,250,120.668,43131,757187.02,44,120.66,6274
2019-04-12 10:02:00,120.684,0.0005803638051966868,120.665,20190412,120.71,10:02 AM,120.64,120.677,4.972197131042443e-05,120.663,120.714,120.63,2559443.764,124,120.71,21209,167991.58,18,120.7,1392
2019-04-12 10:03:00,120.67,0.000464291044157373,120.675,20190412,120.695,10:03 AM,120.615,120.669,-1.6573990436886655e-05,120.675,120.7,120.61,4709236.2988,226,120.665,39026,451546.96,30,120.67,3742
2019-04-12 10:04:00,120.666,0.00043112739814608994,120.65,20190412,120.695,10:04 AM,120.62,120.671,0.0,120.642,120.7,120.62,3592133.985,208,120.68,29768,386131.48,20,120.68,3200
2019-04-12 10:05:00,120.66,0.0003813819291292244,120.665,20190412,120.685,10:05 AM,120.62,120.663,-6.629596174731109e-05,120.665,120.71,120.62,7121317.9692,328,120.641,59018,158789.3,15,120.665,1316
2019-04-12 10:06:00,120.656,0.0003482182831180592,120.635,20190412,120.69,10:06 AM,120.62,120.654,-0.00014087891871294775,120.635,120.695,120.61,6582540.1,255,120.676,54557,161075.345,16,120.68,1335
2019-04-12 10:07:00,120.616,1.658182300558259e-05,120.61,20190412,120.655,10:07 AM,120.575,120.612,-0.0004889327178859188,120.615,120.66,120.56,4904334.39,280,120.64,40662,230135.18,23,120.635,1908
2019-04-12 10:08:00,120.613,-8.290911502850207e-06,120.58,20190412,120.635,10:08 AM,120.57,120.578,-0.0007706905553115787,120.57,120.635,120.537,4279805.082,197,120.62,35494,227717.58,15,120.625,1888
2019-04-12 10:09:00,120.541,-0.0006052365397052374,120.54,20190412,120.55,10:09 AM,120.535,120.559,-0.0009281434644612954,120.55,120.59,120.53,3653291.0236,179,120.56,30303,68105.78,6,120.545,565
2019-04-12 10:10:00,120.597,-0.0001409454955478644,120.6,20190412,120.6,10:10 AM,120.585,120.573,-0.0008121255314036776,120.6,120.605,120.54,3712089.3855,226,120.56,30787,60298.5,5,120.585,500
2019-04-12 10:11:00,120.612,-1.6581823005700414e-05,120.6,20190412,120.625,10:11 AM,120.59,120.613,-0.0004806457226674755,120.59,120.63,120.59,4918587.4265,253,120.6,40780,265588.625,25,120.6,2202
2019-04-12 10:12:00,120.577,-0.0003067637256040438,120.55,20190412,120.58,10:12 AM,120.55,120.555,-0.0009612914453348332,120.505,120.59,120.505,6104539.2884,311,120.59,50637,147103.6,5,120.57,1220
2019-04-12 10:13:00,120.486,-0.0010612366723597602,120.455,20190412,120.51,10:13 AM,120.455,120.484,-0.0015496681058416008,120.43,120.52,120.425,5099355.6395,239,120.505,42324,120485.58,9,120.5,1000
2019-04-12 10:14:00,120.477,-0.0011358548758850584,120.53,20190412,120.53,10:14 AM,120.46,120.488,-0.0015165201249679452,120.5,120.533,120.41,7069399.6622,300,120.435,58673,72647.48,6,120.46,603
2019-04-12 10:15:00,120.491,-0.0010197821148457448,120.5,20190412,120.52,10:15 AM,120.47,120.486,-0.0015330941154047143,120.46,120.522,120.45,7828079.615,424,120.52,64971,295685.88,20,120.52,2454
2019-04-12 10:16:00,120.502,-0.0009285820883148637,120.5,20190412,120.505,10:16 AM,120.49,120.489,-0.001508233129749502,120.51,120.52,120.45,4033372.5926,193,120.455,33475,133998.38,12,120.49,1112
2019-04-12 10:17:00,120.535,-0.0006549820087221029,120.545,20190412,120.55,10:17 AM,120.5,120.54,-0.0010855963736108943,120.54,120.56,120.5,4620898.8946,233,120.51,38335,524569.74,35,120.51,4352
2019-04-12 10:18:00,120.575,-0.00032334554860962637,120.6,20190412,120.615,10:18 AM,120.54,120.587,-0.0006961075983459421,120.6,120.63,120.54,6951728.3576,371,120.545,57649,543312.605,37,120.54,4506
2019-04-12 10:19:00,120.623,7.461820352529839e-05,120.635,20190412,120.655,10:19 AM,120.61,120.628,-0.0003563407943914144,120.635,120.66,120.6,6422829.025,303,120.62,53245,549438.705,45,120.61,4555
2019-04-12 10:20:00,120.651,0.00030676372560392595,120.69,20190412,120.705,10:20 AM,120.59,120.642,-0.0002403228613337966,120.69,120.705,120.59,7091804.485,381,120.64,58784,634988.265,53,120.63,5263
2019-04-12 10:21:00,120.671,0.0004725819556602232,120.67,20190412,120.705,10:21 AM,120.63,120.673,1.657399043676889e-05,120.67,120.712,120.63,6174005.3292,286,120.71,51163,483889.45,43,120.705,4010
2019-04-12 10:22:00,120.733,0.0009866184688344618,120.76,20190412,120.775,10:22 AM,120.67,120.732,0.0005055067083225699,120.74,120.78,120.67,6351816.1188,309,120.68,52611,961154.115,71,120.675,7961
2019-04-12 10:23:00,120.731,0.0009700366458287613,120.72,20190412,120.755,10:23 AM,120.71,120.734,0.0005220806987593388,120.72,120.76,120.71,4211796.7355,228,120.75,34885,393944.56,32,120.735,3263
2019-04-12 10:24:00,120.721,0.0008871275308007306,120.75,20190412,120.755,10:24 AM,120.67,120.727,0.0004640717322305888,120.77,120.77,120.67,4934471.6918,265,120.727,40873,595395.15,47,120.725,4932
2019-04-12 10:25:00,120.772,0.001309964017444088,120.795,20190412,120.8,10:25 AM,120.75,120.784,0.0009364304596796209,120.815,120.82,120.75,9525136.7356,430,120.77,78861,462317.305,42,120.765,3828
2019-04-12 10:26:00,120.838,0.001857164176629492,120.82,20190412,120.845,10:26 AM,120.82,120.83,0.0013176322397261298,120.82,120.85,120.82,4197273.5793,233,120.82,34737,61627.2,6,120.84,510
2019-04-12 10:27:00,120.834,0.0018240005306183267,120.845,20190412,120.87,10:27 AM,120.815,120.84,0.0014005021919102098,120.826,120.88,120.81,12314590.9713,560,120.826,101908,232967.48,17,120.82,1928
2019-04-12 10:28:00,120.884,0.002238546105758834,120.92,20190412,120.92,10:28 AM,120.83,120.874,0.0016822600293358698,120.91,120.92,120.83,7291259.0829,314,120.83,60321,317684.16,25,120.83,2628
2019-04-12 10:29:00,120.891,0.0022965824862785497,120.9,20190412,120.91,10:29 AM,120.865,120.889,0.0018065649576119308,120.875,120.92,120.86,2786261.7121,155,120.92,23048,65160.57,7,120.91,539
2019-04-12 10:30:00,120.85,0.001956655114663223,120.895,20190412,120.895,10:30 AM,120.82,120.844,0.0014336501727837475,120.895,120.9,120.8,8060438.8878,414,120.875,66701,124959.31,12,120.85,1034
2019-04-12 10:31:00,120.881,0.0022136733712504013,120.88,20190412,120.885,10:31 AM,120.875,120.875,0.001690547024554313,120.87,120.89,120.855,3191572.95,189,120.89,26404,84616.5,7,120.875,700
2019-04-12 10:32:00,120.864,0.002072727875702655,120.875,20190412,120.88,10:32 AM,120.855,120.866,0.0016159640675886763,120.86,120.89,120.825,4830037.3143,262,120.87,39962,88593.39,9,120.87,733
2019-04-12 10:33:00,120.858,0.002022982406685789,120.845,20190412,120.87,10:33 AM,120.845,120.854,0.0015165201249678275,120.845,120.875,120.84,2345900.3031,137,120.86,19411,114815.5,7,120.86,950
2019-04-12 10:34:00,120.843,0.0018986187341436252,120.845,20190412,120.86,10:34 AM,120.815,120.837,0.0013756412062549976,120.86,120.87,120.8,6237737.8127,340,120.84,51621,223318.02,21,120.815,1848
2019-04-12 10:35:00,120.858,0.002022982406685789,120.815,20190412,120.89,10:35 AM,120.815,120.85,0.0014833721440941719,120.835,120.89,120.802,4177076.397,221,120.85,34564,230838.0,16,120.85,1910
2019-04-12 10:36:00,120.774,0.0013265458404496707,120.77,20190412,120.785,10:36 AM,120.76,120.778,0.0008867084883691965,120.76,120.835,120.74,3297962.3511,184,120.83,27306,76933.02,8,120.785,637
2019-04-12 10:37:00,120.787,0.0014343276899862522,120.805,20190412,120.82,10:37 AM,120.77,120.782,0.0009198564692427343,120.79,120.82,120.75,4116728.8268,206,120.765,34084,302691.86,14,120.77,2506
2019-04-12 10:38:00,120.781,0.0013845822209693865,120.775,20190412,120.8,10:38 AM,120.765,120.783,0.0009281434644611776,120.77,120.8,120.76,3004481.62,182,120.8,24875,289994.335,14,120.8,2401
2019-04-12 10:39:00,120.781,0.0013845822209693865,120.795,20190412,120.795,10:39 AM,120.77,120.792,0.0010027264214268142,120.798,120.807,120.76,2259420.0316,129,120.76,18705,135033.01,8,120.77,1118
2019-04-12 10:40:00,120.78,0.0013762913094665364,120.755,20190412,120.815,10:40 AM,120.755,120.786,0.0009530044501163898,120.75,120.82,120.75,4882771.635,307,120.8,40425,143245.635,11,120.775,1186
2019-04-12 10:41:00,120.779,0.0013680003979636862,120.8,20190412,120.8,10:41 AM,120.77,120.779,0.0008949954835875221,120.8,120.8,120.751,4221728.0526,254,120.751,34954,144935.5,10,120.78,1200
