,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,189.643,0.0,189.7,20190412,189.7,09:30 AM,189.57,189.603,0.0,189.7,189.87,189.57,8158260.015,39,189.59,43028,53669.1,3,189.57,283
2019-04-12 09:31:00,189.672,0.00015291890552246253,189.735,20190412,189.735,09:31 AM,189.65,189.766,0.0008596910386438109,189.94,189.95,189.59,1202167.7365,59,189.7,6335,79093.315,5,189.695,417
2019-04-12 09:32:00,190.054,0.00216723000585311,189.975,20190412,190.13,09:32 AM,189.975,190.028,0.002241525714255486,189.902,190.15,189.894,3264497.881,82,189.94,17179,120304.365,7,190.04,633
2019-04-12 09:33:00,190.076,0.002283237451421844,190.13,20190412,190.13,09:33 AM,190.025,190.065,0.0024366703058495334,190.13,190.15,189.965,1382344.58,49,189.965,7273,209084.0,9,190.055,1100
2019-04-12 09:34:00,190.432,0.00416044884335297,190.59,20190412,190.59,09:34 AM,190.13,190.36,0.003992552860450547,190.575,190.595,190.13,13282402.035,175,190.13,69775,2316604.325,26,190.13,12165
2019-04-12 09:35:00,190.493,0.004482105851520986,190.49,20190412,190.56,09:35 AM,190.4,190.512,0.004794227939431295,190.51,190.62,190.39,8388250.7,241,190.615,44030,609576.0,10,190.515,3200
2019-04-12 09:36:00,190.589,0.004988320159457496,190.73,20190412,190.73,09:36 AM,190.51,190.61,0.005311097398247944,190.78,190.81,190.46,2459435.95,100,190.51,12903,133412.5,7,190.51,700
2019-04-12 09:37:00,190.994,0.007123911771064574,191.02,20190412,191.03,09:37 AM,190.86,190.969,0.007204527354524904,191.02,191.1,190.84,3115653.59,129,190.849,16315,326599.5,14,190.86,1710
2019-04-12 09:38:00,190.909,0.0066757011859124304,190.81,20190412,191.04,09:38 AM,190.81,190.894,0.006808963993185745,190.93,191.04,190.79,3609434.55,145,191.02,18908,388117.04,8,191.04,2033
2019-04-12 09:39:00,191.054,0.007440295713524893,191.0,20190412,191.1,09:39 AM,190.94,191.009,0.0074154944805724455,191.03,191.12,190.87,3675202.657,163,190.93,19241,305686.5,16,190.94,1600
2019-04-12 09:40:00,191.037,0.007350653596494495,191.08,20190412,191.115,09:40 AM,191.02,191.043,0.007594816537712998,191.02,191.15,191.0,3733736.877,142,191.05,19544,458489.0,15,191.03,2400
2019-04-12 09:41:00,191.043,0.007382291990740527,191.055,20190412,191.055,09:41 AM,191.02,191.06,0.0076844775662832,191.085,191.11,190.99,705966.0895,32,191.0,3695,57313.0,3,191.02,300
2019-04-12 09:42:00,191.08,0.007577395421924415,191.05,20190412,191.11,09:42 AM,191.05,190.991,0.0073205592738511795,191.13,191.16,190.9,2666427.59,52,191.085,13961,38216.0,2,191.11,200
2019-04-12 09:43:00,191.115,0.007761952721692909,191.11,20190412,191.12,09:43 AM,191.11,191.218,0.008517797714171087,191.19,191.31,191.08,2016587.89,73,191.19,10546,57334.42,4,191.12,300
2019-04-12 09:44:00,191.379,0.009154042068518163,191.41,20190412,191.415,09:44 AM,191.275,191.327,0.009092683132650799,191.41,191.44,191.21,2121820.3288,77,191.23,11090,76551.5,4,191.275,400
2019-04-12 09:45:00,191.373,0.00912240367427213,191.42,20190412,191.44,09:45 AM,191.285,191.399,0.009472423959536465,191.43,191.5,191.285,3413609.71,154,191.42,17835,306197.5,15,191.43,1600
2019-04-12 09:46:00,191.396,0.009243684185548561,191.445,20190412,191.445,09:46 AM,191.35,191.392,0.00943550471247811,191.445,191.47,191.33,1333235.51,57,191.41,6966,76558.5,4,191.39,400
2019-04-12 09:47:00,191.424,0.009391330025363477,191.38,20190412,191.51,09:47 AM,191.32,191.453,0.009757229579700712,191.46,191.54,191.33,3307743.33,120,191.455,17277,93223.66,6,191.43,487
2019-04-12 09:48:00,191.543,0.010018824844576418,191.57,20190412,191.585,09:48 AM,191.475,191.53,0.010163341297342301,191.57,191.6,191.44,1712090.6338,67,191.44,8939,57463.0,3,191.475,300
2019-04-12 09:49:00,191.481,0.009691894770700706,191.49,20190412,191.55,09:49 AM,191.42,191.482,0.009910180746085191,191.505,191.56,191.4,2211238.44,98,191.56,11548,95740.5,5,191.55,500
2019-04-12 09:50:00,191.341,0.008953665571626728,191.19,20190412,191.515,09:50 AM,191.165,191.392,0.00943550471247811,191.14,191.55,191.14,2525036.428,109,191.55,13193,166849.2,9,191.515,872
2019-04-12 09:51:00,191.061,0.0074772071734786226,190.99,20190412,191.15,09:51 AM,190.89,191.007,0.007404946124270166,191.02,191.2,190.87,3425902.6102,116,191.2,17936,133743.1,8,191.135,700
2019-04-12 09:52:00,191.115,0.007761952721692909,191.18,20190412,191.18,09:52 AM,191.06,191.175,0.00829100805367005,191.13,191.205,191.03,5371053.156,61,191.03,28095,73579.215,5,191.065,385
2019-04-12 09:53:00,191.272,0.008589824037797286,191.29,20190412,191.34,09:53 AM,191.255,191.289,0.008892264362905538,191.27,191.39,191.175,2186432.4,76,191.175,11430,516434.0,12,191.265,2700
2019-04-12 09:54:00,191.387,0.00919622659417959,191.475,20190412,191.475,09:54 AM,191.3,191.394,0.00944605306878054,191.535,191.535,191.28,1570193.32,59,191.28,8204,38277.5,2,191.3,200
2019-04-12 09:55:00,191.542,0.010013551778868722,191.43,20190412,191.59,09:55 AM,191.43,191.535,0.010189712188098226,191.43,191.6,191.43,873593.3,36,191.53,4561,134079.5,7,191.58,700
2019-04-12 09:56:00,191.373,0.00912240367427213,191.325,20190412,191.42,09:56 AM,191.325,191.369,0.00931419861500077,191.372,191.42,191.31,754375.22,29,191.42,3942,38274.5,2,191.42,200
2019-04-12 09:57:00,191.309,0.008784927468981175,191.24,20190412,191.37,09:57 AM,191.225,191.319,0.00905048970744123,191.24,191.39,191.21,2465151.07,73,191.38,12885,172178.5,7,191.37,900
2019-04-12 09:58:00,191.27,0.008579277906382042,191.27,20190412,191.27,09:58 AM,191.27,191.284,0.008865893472149613,191.35,191.35,191.25,578443.71,22,191.26,3024,95635.0,3,191.27,500
2019-04-12 09:59:00,191.382,0.009169861265641253,191.4,20190412,191.4,09:59 AM,191.37,191.357,0.009250908477186492,191.36,191.43,191.26,933821.4888,40,191.38,4880,76553.0,4,191.38,400
2019-04-12 10:00:00,191.332,0.008906207980257605,191.375,20190412,191.38,10 AM,191.275,191.355,0.009240360120884063,191.375,191.48,191.26,1668421.74,60,191.32,8719,114799.0,4,191.38,600
2019-04-12 10:01:00,191.502,0.009802629150561891,191.63,20190412,191.63,10:01 AM,191.35,191.492,0.00996292252759704,191.62,191.65,191.35,4035303.66,126,191.35,21073,436624.3,8,191.35,2280
2019-04-12 10:02:00,191.755,0.011136714774602778,191.755,20190412,191.755,10:02 AM,191.755,191.713,0.011128515899009959,191.773,191.79,191.627,825900.41,34,191.64,4308,76702.0,2,191.755,400
2019-04-12 10:03:00,,,,20190412,,10:03 AM,,191.836,0.011777239811606378,191.788,191.9,191.73,1799613.4506,61,191.77,9381,0.0,0,,0
2019-04-12 10:04:00,,,,20190412,,10:04 AM,,191.69,0.011007209801532618,191.745,191.78,191.62,1806679.25,48,191.76,9425,0.0,0,,0
2019-04-12 10:05:00,191.945,0.012138597259060406,191.95,20190412,192.0,10:05 AM,191.8,191.913,0.012183351529247967,191.95,192.0,191.76,3011504.32,85,191.76,15692,185226.5,8,191.8,965
2019-04-12 10:06:00,191.891,0.011853851710846118,191.87,20190412,191.92,10:06 AM,191.87,191.905,0.012141158104038399,191.88,191.96,191.86,1261774.1833,46,191.93,6575,45861.93,3,191.92,239
2019-04-12 10:07:00,191.972,0.012280970033167624,192.03,20190412,192.03,10:07 AM,191.91,191.975,0.012510350574621633,192.03,192.05,191.875,3810312.8525,79,191.875,19848,99441.4,6,191.91,518
2019-04-12 10:08:00,,,,20190412,,10:08 AM,,192.056,0.012937559004868081,192.1,192.2,191.96,2541284.9133,77,192.075,13232,0.0,0,,0
2019-04-12 10:09:00,192.035,0.012613173172750885,192.035,20190412,192.035,10:09 AM,192.035,192.04,0.012853172154448944,192.06,192.09,191.98,1338515.3532,48,192.06,6970,38407.0,2,192.035,200
2019-04-12 10:10:00,192.125,0.013087749086441362,192.125,20190412,192.125,10:10 AM,192.125,192.145,0.013406960860323948,192.23,192.25,192.09,1935672.3256,69,192.13,10074,19212.5,1,192.125,100
2019-04-12 10:11:00,,,,20190412,,10:11 AM,,192.197,0.013681218124185768,192.0,192.28,192.0,7055568.14,87,192.28,36710,0.0,0,,0
2019-04-12 10:12:00,191.92,0.012006770616368581,191.95,20190412,191.99,10:12 AM,191.87,191.907,0.012151706460340828,191.97,192.0,191.83,3031753.33,106,191.99,15798,76768.0,4,191.99,400
2019-04-12 10:13:00,192.01,0.01248134653005906,192.01,20190412,192.01,10:13 AM,192.01,191.973,0.012499802218319353,191.87,192.01,191.87,992693.64,44,191.97,5171,57603.0,1,192.01,300
2019-04-12 10:14:00,191.982,0.012333700690244294,192.01,20190412,192.01,10:14 AM,191.87,191.992,0.012600011603191835,191.99,192.04,191.87,1265804.5949,46,191.87,6593,95991.0,5,191.87,500
2019-04-12 10:15:00,192.049,0.012686996092658342,192.05,20190412,192.05,10:15 AM,192.0,192.042,0.012863720510751374,192.02,192.09,191.99,730144.08,31,192.0,3802,19397.0,2,192.0,101
2019-04-12 10:16:00,192.05,0.012692269158366038,192.05,20190412,192.05,10:16 AM,192.05,192.024,0.012768785304029959,192.06,192.06,191.99,920369.8845,29,191.99,4793,19205.0,1,192.05,100
2019-04-12 10:17:00,192.11,0.013008653100826358,192.11,20190412,192.11,10:17 AM,192.11,192.125,0.013301477297300102,192.16,192.199,192.08,956974.1979,41,192.09,4981,19211.0,1,192.11,100
2019-04-12 10:18:00,192.18,0.013377767700363346,192.18,20190412,192.18,10:18 AM,192.18,192.202,0.013707589014941691,192.14,192.28,192.14,1342337.1153,59,192.18,6984,19218.0,1,192.18,100
2019-04-12 10:19:00,192.046,0.012671176895535251,192.025,20190412,192.095,10:19 AM,192.025,192.068,0.013000849142682359,192.025,192.135,192.007,1517341.05,51,192.135,7900,76818.5,4,192.095,400
2019-04-12 10:20:00,191.882,0.011806394119477145,191.88,20190412,191.885,10:20 AM,191.88,191.917,0.012204448241852675,192.01,192.01,191.845,1663921.65,54,191.99,8670,38376.5,2,191.885,200
2019-04-12 10:21:00,191.992,0.012386431347320963,191.96,20190412,192.0,10:21 AM,191.96,191.982,0.012547269821679988,191.96,192.005,191.92,1105242.972,35,191.985,5757,134394.5,3,191.985,700
2019-04-12 10:22:00,191.917,0.01199095141924564,191.915,20190412,191.92,10:22 AM,191.915,191.934,0.012294109270422878,191.85,191.97,191.84,1571167.9545,59,191.96,8186,38575.415,2,191.92,201
2019-04-12 10:23:00,191.748,0.01109980331464905,191.76,20190412,191.765,10:23 AM,191.72,191.755,0.01135003138135993,191.8,191.855,191.7,1291275.2253,58,191.855,6734,57524.5,3,191.765,300
2019-04-12 10:24:00,,,,20190412,,10:24 AM,,191.833,0.011761417277152733,191.88,191.91,191.77,825649.48,38,191.77,4304,0.0,0,,0
2019-04-12 10:25:00,191.846,0.011616563754000954,191.78,20190412,191.925,10:25 AM,191.78,191.842,0.011808884880513517,191.81,191.99,191.77,1160643.709,50,191.87,6050,84987.7,8,191.875,443
2019-04-12 10:26:00,191.91,0.011954039959291911,191.88,20190412,191.915,10:26 AM,191.88,191.892,0.012072593788072905,191.847,191.93,191.83,1770966.97,43,191.83,9229,135872.32,5,191.915,708
2019-04-12 10:27:00,191.916,0.011985678353537943,192.005,20190412,192.005,10:27 AM,191.85,191.944,0.012346851051934725,192.019,192.06,191.84,2062249.336,82,191.855,10744,117260.88,7,191.88,611
2019-04-12 10:28:00,191.935,0.012085866601983736,191.935,20190412,191.935,10:28 AM,191.935,191.961,0.012436512080505077,191.945,192.01,191.93,926405.75,45,192.01,4826,38387.0,1,191.935,200
2019-04-12 10:29:00,191.898,0.011890763170799847,191.86,20190412,191.915,10:29 AM,191.86,191.896,0.012093690500677615,191.92,191.94,191.85,1356127.296,54,191.89,7067,76759.0,4,191.915,400
2019-04-12 10:30:00,191.927,0.01204368207632231,191.93,20190412,191.955,10:30 AM,191.9,191.922,0.0122308191326086,191.93,191.97,191.89,2447193.81,120,191.949,12751,172734.0,8,191.91,900
2019-04-12 10:31:00,191.902,0.011911855433630485,191.86,20190412,191.92,10:31 AM,191.86,191.895,0.01208841632252655,191.86,191.93,191.85,1727435.5,81,191.9,9002,172712.0,9,191.9,900
2019-04-12 10:32:00,191.883,0.011811667185184843,191.905,20190412,191.905,10:32 AM,191.84,191.878,0.0119987552939562,191.882,191.92,191.83,994694.15,48,191.83,5184,57565.0,3,191.84,300
2019-04-12 10:33:00,,,,20190412,,10:33 AM,,191.854,0.011872175018327795,191.87,191.89,191.82,548703.22,26,191.89,2860,0.0,0,,0
2019-04-12 10:34:00,191.925,0.012033135944907066,191.95,20190412,191.95,10:34 AM,191.9,191.936,0.012304657626725307,191.89,191.98,191.89,903061.4836,43,191.92,4705,76770.0,4,191.9,400
2019-04-12 10:35:00,191.803,0.011389821928571034,191.82,20190412,191.82,10:35 AM,191.78,191.831,0.011750868920850303,191.9,191.9,191.76,1080200.04,55,191.86,5631,57541.0,3,191.78,300
2019-04-12 10:36:00,191.933,0.012075320470568342,191.93,20190412,191.935,10:36 AM,191.93,191.927,0.012257190023364523,191.904,191.98,191.89,687481.63,33,191.9,3582,57580.0,3,191.935,300
2019-04-12 10:37:00,191.909,0.011948766893584215,191.87,20190412,191.92,10:37 AM,191.87,191.894,0.012083142144375336,191.86,191.94,191.814,1639157.663,48,191.93,8542,153527.5,6,191.92,800
2019-04-12 10:38:00,191.905,0.011927674630753575,191.925,20190412,191.925,10:38 AM,191.875,191.893,0.01207786796622412,191.888,191.926,191.855,1002259.9,40,191.86,5223,95952.5,4,191.9,500
2019-04-12 10:39:00,191.91,0.011954039959291911,191.91,20190412,191.91,10:39 AM,191.91,191.919,0.012214996598155106,191.935,191.94,191.9,794543.4253,32,191.91,4140,38382.0,1,191.91,200
2019-04-12 10:40:00,191.863,0.011706205871031354,191.74,20190412,191.92,10:40 AM,191.74,191.871,0.011961836046897996,191.74,191.93,191.74,1159857.84,47,191.93,6045,115118.0,7,191.92,600
2019-04-12 10:41:00,191.77,0.011215810760217933,191.775,20190412,191.775,10:41 AM,191.765,191.756,0.011355305559511144,191.775,191.83,191.69,810935.79,36,191.75,4229,38354.0,2,191.765,200
2019-04-12 10:42:00,191.75,0.011110349446064444,191.75,20190412,191.75,10:42 AM,191.75,191.767,0.011413321519174208,191.755,191.81,191.72,691510.0387,30,191.79,3606,19175.0,1,191.75,100
2019-04-12 10:43:00,191.747,0.011094530248941503,191.765,20190412,191.765,10:43 AM,191.72,191.725,0.011191806036824235,191.73,191.765,191.69,488708.1244,24,191.73,2549,38732.94,3,191.73,202
2019-04-12 10:44:00,191.727,0.010989068934788014,191.69,20190412,191.76,10:44 AM,191.69,191.714,0.011133790077161173,191.74,191.76,191.67,979849.51,44,191.75,5111,57518.0,4,191.76,300
2019-04-12 10:45:00,191.818,0.011468917914186189,191.82,20190412,191.89,10:45 AM,191.755,191.847,0.01183525577126944,191.83,191.91,191.755,1951659.451,72,191.755,10173,95909.0,5,191.755,500
2019-04-12 10:46:00,191.82,0.011479464045601432,191.79,20190412,191.9,10:46 AM,191.77,191.835,0.011771965633455162,191.79,191.925,191.741,1591466.4578,63,191.87,8296,57546.0,3,191.9,300
2019-04-12 10:47:00,191.885,0.011822213316600086,191.9,20190412,191.9,10:47 AM,191.855,191.882,0.012019852006561058,191.915,191.92,191.8,794585.3755,31,191.8,4141,57565.5,2,191.855,300
2019-04-12 10:48:00,191.948,0.012154416456183497,191.95,20190412,191.97,10:48 AM,191.94,191.945,0.01235212523008594,191.985,191.985,191.925,2175318.0,62,191.935,11333,95974.0,3,191.97,500
2019-04-12 10:49:00,191.898,0.011890763170799847,191.725,20190412,191.985,10:49 AM,191.725,191.931,0.012278286735969382,191.75,192.01,191.725,1477481.9894,45,191.985,7698,57569.5,2,191.985,300
2019-04-12 10:50:00,191.725,0.01097852280337262,191.73,20190412,191.73,10:50 AM,191.72,191.739,0.011265644530940942,191.82,191.82,191.705,703681.5128,32,191.735,3670,38345.0,2,191.72,200
2019-04-12 10:51:00,191.803,0.011389821928571034,191.815,20190412,191.815,10:51 AM,191.79,191.82,0.011692852961187241,191.814,191.85,191.79,319764.4881,9,191.79,1667,38360.5,2,191.79,200
2019-04-12 10:52:00,191.807,0.011410914191401672,191.78,20190412,191.83,10:52 AM,191.78,191.806,0.011619014467070685,191.781,191.85,191.76,735959.26,34,191.8,3837,57542.0,3,191.83,300
2019-04-12 10:53:00,191.772,0.011226356891633177,191.76,20190412,191.78,10:53 AM,191.76,191.785,0.011508256725895623,191.76,191.8,191.76,271375.4,14,191.8,1415,57531.5,3,191.78,300
2019-04-12 10:54:00,191.695,0.01082033083214246,191.695,20190412,191.695,10:54 AM,191.695,191.665,0.010875355347752849,191.64,191.72,191.61,498520.2,26,191.72,2601,19169.5,1,191.695,100
2019-04-12 10:55:00,191.624,0.010445943166897774,191.66,20190412,191.66,10:55 AM,191.58,191.603,0.01054835630237918,191.675,191.68,191.57,1574782.8285,61,191.63,8219,76649.5,4,191.58,400
2019-04-12 10:56:00,191.742,0.011068164920403018,191.76,20190412,191.76,10:56 AM,191.73,191.74,0.011270918709092158,191.789,191.789,191.69,442920.355,14,191.69,2310,43525.52,3,191.73,227
2019-04-12 10:57:00,191.835,0.011558560031216587,191.835,20190412,191.835,10:57 AM,191.835,191.818,0.01168230460488496,191.835,191.835,191.79,115090.71,6,191.79,600,19183.5,1,191.835,100
2019-04-12 10:58:00,191.833,0.011548013899801193,191.84,20190412,191.84,10:58 AM,191.83,191.848,0.011840529949420656,191.88,191.88,191.82,524511.752,24,191.85,2734,57550.0,3,191.83,300
2019-04-12 10:59:00,191.91,0.011954039959291911,191.91,20190412,191.91,10:59 AM,191.91,191.908,0.012156980638491893,191.915,191.93,191.88,575724.05,25,191.888,3000,57573.0,3,191.91,300
2019-04-12 11:00:00,191.86,0.011690386673908412,191.89,20190412,191.91,11 AM,191.83,191.869,0.011951287690595565,191.91,191.93,191.83,901783.44,41,191.9,4700,96313.68,7,191.83,502
2019-04-12 11:01:00,191.933,0.012075320470568342,191.93,20190412,191.94,11:01 AM,191.92,191.934,0.012294109270422878,191.93,191.95,191.92,519374.7052,23,191.93,2706,79076.19,7,191.93,412
2019-04-12 11:02:00,191.946,0.012143870324768102,191.96,20190412,191.975,11:02 AM,191.93,191.945,0.01235212523008594,192.0,192.0,191.91,1022492.7514,41,191.92,5327,106337.86,6,191.93,554
2019-04-12 11:03:00,192.026,0.012565715581381911,192.035,20190412,192.035,11:03 AM,192.0,192.018,0.01273714023512282,192.035,192.05,192.0,1415173.167,31,192.0,7370,104846.5,6,192.0,546
2019-04-12 11:04:00,192.037,0.012623719304166277,192.04,20190412,192.04,11:04 AM,192.035,192.058,0.012948107361170361,192.06,192.08,192.035,942046.674,38,192.049,4905,57611.0,3,192.035,300
2019-04-12 11:05:00,191.995,0.012402250544444054,191.99,20190412,192.06,11:05 AM,191.95,191.999,0.012636930850250189,192.0,192.07,191.91,1015867.535,48,192.07,5291,115965.13,9,192.06,604
2019-04-12 11:06:00,,,,20190412,,11:06 AM,,191.972,0.01249452804016814,191.975,192.02,191.93,744467.1906,30,191.99,3878,0.0,0,,0
2019-04-12 11:07:00,191.97,0.01227042390175223,191.97,20190412,191.97,11:07 AM,191.97,191.999,0.012636930850250189,192.042,192.042,191.96,238846.5592,12,191.98,1244,19197.0,1,191.97,100
2019-04-12 11:08:00,,,,20190412,,11:08 AM,,192.124,0.013296203119148886,192.12,192.17,192.07,755049.116,32,192.07,3930,0.0,0,,0
2019-04-12 11:09:00,192.118,0.013050837626487633,192.11,20190412,192.13,11:09 AM,192.11,192.071,0.013016671677135853,191.96,192.13,191.96,845302.74,36,192.13,4401,96059.0,7,192.13,500
2019-04-12 11:10:00,191.942,0.012122778061937465,191.95,20190412,191.955,11:10 AM,191.91,191.972,0.01249452804016814,191.935,192.03,191.91,1185622.18,50,191.95,6176,115165.0,7,191.95,600
2019-04-12 11:11:00,191.938,0.012101685799106676,191.89,20190412,191.97,11:11 AM,191.89,191.939,0.012320480161178801,191.96,191.97,191.88,2139925.44,90,191.944,11149,76775.0,4,191.97,400
2019-04-12 11:12:00,191.939,0.012106958864814374,191.955,20190412,191.955,11:12 AM,191.92,191.949,0.012373221942690799,191.955,191.97,191.92,704070.44,30,191.93,3668,90595.18,4,191.92,472
2019-04-12 11:13:00,191.988,0.012365339084490326,191.95,20190412,192.035,11:13 AM,191.93,191.969,0.012478705505714494,191.977,192.04,191.9,4442550.445,161,191.94,23142,275887.43,11,191.95,1437
2019-04-12 11:14:00,191.913,0.011969859156415002,191.91,20190412,191.925,11:14 AM,191.905,191.937,0.012309931804876521,191.91,191.98,191.9,1202291.66,57,191.96,6264,57574.0,3,191.925,300
2019-04-12 11:15:00,191.913,0.011969859156415002,191.9,20190412,191.93,11:15 AM,191.875,191.919,0.012214996598155106,191.89,191.94,191.845,2391888.9446,76,191.93,12463,172722.0,7,191.93,900
2019-04-12 11:16:00,191.85,0.011637656016831591,191.85,20190412,191.85,11:16 AM,191.85,191.861,0.011909094265385998,191.86,191.89,191.84,625851.4343,29,191.89,3262,19185.0,1,191.85,100
2019-04-12 11:17:00,191.875,0.011769482659523416,191.835,20190412,191.9,11:17 AM,191.835,191.874,0.01197765858135149,191.83,191.9,191.82,1310307.94,59,191.88,6829,57562.5,3,191.9,300
2019-04-12 11:18:00,191.808,0.011416187257109368,191.805,20190412,191.81,11:18 AM,191.805,191.811,0.011645385357826608,191.84,191.84,191.78,572363.2,25,191.81,2984,38361.5,2,191.81,200
2019-04-12 11:19:00,191.845,0.011611290688293257,191.845,20190412,191.845,11:19 AM,191.845,191.834,0.011766691455303948,191.844,191.85,191.81,447356.045,17,191.825,2332,38369.0,2,191.845,200
2019-04-12 11:20:00,191.882,0.011806394119477145,191.895,20190412,191.895,11:20 AM,191.86,191.883,0.012025126184712272,191.91,191.91,191.845,1241292.3986,36,191.845,6469,95941.0,4,191.86,500
2019-04-12 11:21:00,191.883,0.011811667185184843,191.895,20190412,191.895,11:21 AM,191.88,191.887,0.012046222897316982,191.886,191.92,191.88,938520.2808,46,191.88,4891,134318.5,7,191.89,700
2019-04-12 11:22:00,191.925,0.012033135944907066,191.93,20190412,191.93,11:22 AM,191.92,191.925,0.012246641667062243,191.925,191.94,191.9,1051364.9,37,191.9,5478,115155.0,5,191.92,600
2019-04-12 11:23:00,191.923,0.012022589813491672,191.925,20190412,191.925,11:23 AM,191.92,191.932,0.012283560914120447,191.925,191.95,191.91,1010715.4,37,191.925,5266,57577.0,3,191.92,300
