,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 09:30:00,47.77,0.0,47.82,20190412,47.82,09:30 AM,47.74,47.815,0.0,47.86,47.87,47.7,927085.38,140,47.75,19389,9601.82,3,47.74,201
2019-04-12 09:31:00,47.932,0.003391249738329475,48.04,20190412,48.045,09:31 AM,47.86,47.933,0.0024678448185716222,48.043,48.06,47.83,37095801.7607,1586,47.86,773914,456364.83,53,47.875,9521
2019-04-12 09:32:00,48.064,0.006154490265857168,48.04,20190412,48.13,09:32 AM,47.98,48.063,0.005186656906828499,48.0,48.14,47.98,16423222.9652,1172,48.04,341704,201773.82,29,48.04,4198
2019-04-12 09:33:00,47.968,0.004144860791291614,47.995,20190412,48.045,09:33 AM,47.93,47.984,0.003534455714733955,47.99,48.06,47.91,12656850.6448,1067,48.005,263770,619839.68,22,47.995,12922
2019-04-12 09:34:00,47.941,0.0035796525015700095,47.82,20190412,48.02,09:34 AM,47.82,47.944,0.0026978981491164885,47.81,48.04,47.8,16960649.6734,1409,47.99,353757,136440.15,27,47.98,2846
2019-04-12 09:35:00,47.807,0.0007745446933221484,47.72,20190412,47.915,09:35 AM,47.68,47.781,-0.0007110739307748389,47.73,47.93,47.67,17821463.8537,1383,47.81,372983,274078.44,50,47.8,5733
2019-04-12 09:36:00,47.766,-8.373456144033679e-05,47.79,20190412,47.84,09:36 AM,47.71,47.764,-0.0010666108961621841,47.8,47.84,47.7,16515349.4007,1336,47.74,345772,284158.44,51,47.75,5949
2019-04-12 09:37:00,47.743,-0.000565208289721604,47.645,20190412,47.8,09:37 AM,47.645,47.737,-0.0016312872529540073,47.65,47.805,47.64,13322190.0002,1130,47.8,279073,288942.42,44,47.8,6052
2019-04-12 09:38:00,47.839,0.0014444211848439502,47.92,20190412,47.96,09:38 AM,47.64,47.862,0.0009829551396006305,47.92,47.96,47.64,9525460.6528,1021,47.65,199017,336593.11,49,47.64,7036
2019-04-12 09:39:00,48.049,0.005840485660456277,48.16,20190412,48.18,09:39 AM,47.89,48.059,0.005103001150266648,48.15,48.19,47.84,13305986.4543,1079,47.93,276865,336344.5,32,47.92,7000
